Channel_SKU,Master_SKU,SKU_Name,Channel
THEFA00000018,30100003,Free The Face Shop Rice Water Bright Cleansing Foam(150ml),Nykaa
THEFA00000019,30100529,Free The Face Shop Rice & Ceramide Moisturizing Skincare Set(78ml),Nykaa
THEFA00000021,TFSCOM00312,The Face Shop Get Set Glow Kit(4 pieces),Nykaa
THEFA00000022,TFSCOM00313,The Face Shop Glow Key Pro When It Comes To Glow Combo(7 pieces),Nykaa
THEFA00000023,TFSCOM00314,The Face Shop Glow Key Ready To Shine Like Gloss Combo(7 pieces),Nykaa
THEFA00000033,TFSCOM00327,The Face Shop Hustle & Glow Kit(4Pcs),Nykaa
THEFA00000034,30100536,The Face Shop Yehwadam Silky Smooth Body Peeling Gel(300ml),Nykaa
THEFA00000036,30100538,The Face Shop Dr.Belmeur Amino Clear Cleansing Foaming Cleanser(150ml),Nykaa
THEFA00000037,30100539,"The Face Shop Dr.Belmeur Clarifying Acne Patches, Reduces Acne Sizes & Prevents Acne From Scarring (72 Paches)",Nykaa
THEFA00000039,30100541,The Face Shop Dr.Belmeur Clarifying Ultra Soothing Patches(6 pieces),Nykaa
THEFA00000040,30100543,The Face Shop Jeju Aloe Fresh Soothing Foam Cleanser Gel  Foam Hydrating & Cooling Face Wash(150ml),Nykaa
THEFA00000043,30100546,The Face Shop Jeju Volcanic Lava 3 Step Impurity Removing Nose Strip Kit(3 pieces),Nykaa
THEFA00000045,30100548,The Face Shop Real Nature Charcoal Face Mask(20ml)(Charcoal) (20ML),Nykaa
THEFA00000046,30100531,The Face Shop Fmgt Designing Eyebrow Pencil - Light Brown(0.3 g)(Light Brown),Nykaa
THEFA00000047,30100534,The Face Shop Fmgt Designing Eyebrow Pencil - Brown(0.3 g)(Brown),Nykaa
THEFA00000048,30100535,The Face Shop Fmgt Designing Eyebrow Pencil - Dark Brown(0.3 g)(Dark Brown),Nykaa
THEFA00000065,30100435,Free The Face Shop Rice & Ceramide Moisturizing Cream(50ml),Nykaa
THEFA00000067,30100352,Free The Face Shop Rice Water Bright Rich Cleansing Oil(150ml),Nykaa
THEFA00000068,30100111,Free The Face Shop Smart Peeling White Jewel(120ml),Nykaa
THEFA00000082,30100555,Free The Face Shop Pomegranate & Collagen Duo Kit(64ml),Nykaa
THEFA00000083,30100554,"The Face Shop Rice Water Bright Foaming Cleanser, Face Wash For Glowing Skin & Even Skin Tone(100ml)",Nykaa
THEFA00000103,TFSFREE00127,Free The Face Shop Style 1 Pink Pouch - Full Covered(100 g),Nykaa
THEFA00000104,TFSFREE00128,Free The Face Shop Style 2 Pink Pouch - Half Transparent(100 g),Nykaa
THEFA00000105,THEFA00000105,The Face Shop Wedding Favour Combo(7 pcs),Nykaa
THEFA00000107,THEFA00000107,The Face Shop Honeymoon Combo(2 pcs),Nykaa
THEFA00000108,TFSFREE0044,Free The Face Shop Lipstick Case(1 pcs),Nykaa
THEFA00000112,TFSCOM00364,"The Face Shop Rice Water Bright Foaming Cleanser, Face Wash For Glowing Skin & Even Skin Tone (2pc) combo (50 ml)",Nykaa
THEFA00000116,20100001,Free The Face Shop Double Duty Cleanser(100ml),Nykaa
THEFA00000117,20100003,Free The Face Shop Go-To-Bed Sleeping Mask(50 g),Nykaa
THEFA00000119,TFSMCH000008,Free The Face Shop Pink Velvet Sling(1 pcs),Nykaa
THEFA00000120,TFSMCH000009,Free The Face Shop Rice Husk Sippy Cup(1 pcs),Nykaa
THEFA00000121,TFSCOM00364,The Face Shop Rice Water Bright Foaming Cleanser Combo(50ml),Nykaa
THEFA00000123,30100574,"The Face Shop Tea Tree Pore Gel Cleanser With Ip- Bha, Pha & Hyaluronic Acid, Gel To Foam Face Wash",Nykaa
THEFA00000124,30100560,"The Face Shop Tea Tree Toner Pads (Sheets) With Ip- Bha, Pha & Hyaluronic Acid, For Acne & Oily Skin",Nykaa
THEFA00000125,30100561,"The Face Shop Tea Tree Pore Ampoule With Ip- Bha, Pha & Hyaluronic Acid, For Oily & Acne Prone Skin",Nykaa
THEFA00000126,30100562,"The Face Shop Tea Tree Pore Cream With Ip- Bha, Pha & Hyaluronic Acid, For Oily & Acne Prone Skin (50ml)",Nykaa
THEFA00000127,30100563,"The Face Shop The Therapy Vegan Moisture Blending Cream With Niacinamide, Gives 48Hr Hydration",Nykaa
THEFA00000128,30100557,"The Face Shop The Therapy Vegan Blending Cream, Organic & Vegan 2 In 1 Gel & Cream With Niacinamide",Nykaa
THEFA00000129,30100558,"The Face Shop The Therapy Vegan Blending Toner, Organic & Vegan Toner To Smooth Wrinkles(180ml)",Nykaa
THEFA00000130,30100571,"The Face Shop The Therapy Vegan Sunscreen Stick Spf50+ Pa++++, Travel Friendly Everyday Use Sunstick",Nykaa
THEFA00000131,30100569,The Face Shop The Face Shop The Therapy Vegan Moisturizing Serum Sunscreen Spf 50+ Pa++++ (50ML),Nykaa
THEFA00000133,30100573,The Face Shop Dr.Belmeur Derma Collagen Hydrogel Eye Patches For Under Eye Dark Cicle &Wrinkles(4gm),Nykaa
